purchased,product_name,price,options,num_actions,gender,income,persona
True,Unisex Winter Dual Control Heating Vest Outdoor Constant Temperature Safe USB Electric Heating Jacket (2-11 Heating),18.99,"[['Color', '9-heating-ared'], ['Size', 'Medium']]",5,male,0-30000,"Persona: Jake

Background:
Jake is a 24-year-old recent college graduate looking for his first full-time job. He has a degree in Environmental Science and is passionate about sustainability and conservation efforts. Currently, Jake is volunteering at a local non-profit organization focused on reforestation and community gardening while job hunting.

Demographics:

- Age: 24
- Gender: Male
- Education: Bachelor’s Degree in Environmental Science
- Profession: Recent graduate (job seeker)
- Income: $0 (unemployed)

Financial Situation:
Jake is in a tight financial spot with no income. He relies on his savings from part-time jobs during college, as well as help from family to manage basic living expenses. He is actively looking for an entry-level job in his field and is open to internships and temporary positions to gain experience.

Shopping Habits:
Jake prioritizes necessities and budget-friendly options when he does shop. He often looks for deals and prefers thrift stores or online marketplaces for clothing and household items. He is resourceful, often asking friends or family if they have items he can borrow before purchasing.

Professional Life:
Jake spends most of his time applying for jobs, attending networking events, and honing his skills related to environmental advocacy. He also dedicates time to his volunteer work, which he believes will enhance his resume and help him make valuable connections in his field.

Personal Style:
Jake embraces a casual, laid-back style, favoring comfortable clothing suitable for outdoor activities. He often wears jeans, t-shirts, and sturdy shoes, opting for earthy tones and casual prints that reflect his passion for nature. He typically prefers medium-sized clothing.

Living Situation:
Jake lives in a shared apartment with friends to split costs and reduce his living expenses. He enjoys cooking simple meals and spending time outdoors when he can. He usually wakes up around 8:30 AM to make the most of his day.

Location:
Jake currently resides in Portland, Oregon, where he finds inspiration from the city’s commitment to sustainability and outdoor lifestyle."
True,Men's Casual Lightweight Flight Jacket Softshell Zipper Windbreaker Bomber Jacket,29.99,"[['Color', 'Khaki#2'], ['Size', 'Medium']]",7,male,0-30000,"Persona: Jake

Background:
Jake is a 24-year-old recent college graduate who currently finds himself in a challenging financial situation. Having completed his degree in Environmental Science, he is passionate about sustainability and conservation but has been struggling to secure a job in his field due to a competitive job market.

Demographics:
- Age: 24
- Gender: Male
- Education: Bachelor’s Degree in Environmental Science
- Profession: Job Seeker
- Income: $0 (currently unemployed)

Financial Situation:
Jake is living off of his savings from part-time jobs during college. With no current income, he is managing his finances very carefully, prioritizing essential expenses such as rent, utilities, and groceries. He has applied for unemployment benefits but has not received any assistance yet.

Shopping Habits:
Jake is extremely budget-conscious and prioritizes needs over wants. He relies heavily on thrift stores and clearance sales for clothing and other necessities. He often utilizes online platforms for price comparisons and seeks discounts or free options. He tends to avoid impulse purchases and focuses on second-hand items to save money.

Professional Life:
Jake spends much of his time networking, attending job fairs, and applying for positions within his field. His days often involve researching potential employers, enhancing his resume, and preparing for interviews. He is actively seeking internships or entry-level positions that will help him gain experience and get a foot in the door.

Personal Style:
Jake has a casual, laid-back personal style. He favors comfortable clothing suitable for outdoor activities, often opting for t-shirts, jeans, and sturdy shoes. His wardrobe consists mostly of neutral colors, with a few bright-colored accessories to add personality. He values practicality and durability in his clothing choices, as he enjoys hiking and spending time outdoors.

Living Situation:
Jake currently lives in a shared apartment with friends, which helps cut down on living expenses. He enjoys the communal aspect of sharing a space, and his roommates often share groceries and household responsibilities.

Hobbies and Interests:
Jake is an avid nature enthusiast who loves hiking, camping, and volunteering for environmental organizations. He enjoys reading about sustainable practices and finding ways to incorporate them into his daily life. He attends local workshops and seminars related to environmental science to build both his knowledge and network.

Jake is looking for opportunities to start his career while maintaining his passion for environmental conservation."
True,32 Degrees Men’s Lightweight Water-Resistant Packable Puffer Down Alternative Jacket,24.49,"[['Color', 'Electric Navy'], ['Size', 'Medium']]",11,male,0-30000,"Persona: Jake

Background:
Jake is a 24-year-old recent college graduate who has just completed his degree in Environmental Science. He is passionate about sustainability and is eager to begin his career in the green industry. However, he is currently in a transitional phase, looking for job opportunities that align with his values and interests while navigating the challenges of entering the workforce.

Demographics:

- Age: 24
- Gender: Male
- Education: Bachelor's degree in Environmental Science
- Profession: Recent graduate seeking employment
- Income: $0 (currently unemployed)

Financial Situation:
Jake is living off his limited savings and some support from his family while he searches for a job. He is focused on finding a position within the environmental sector, even if it means starting with an internship or entry-level position that may not pay much initially. He is budget-conscious and actively looks for ways to minimize expenses, relying on public transportation and cooking meals at home to save money.

Shopping Habits:
Jake is very frugal and prioritizes essential purchases over luxuries. He enjoys thrift shopping and frequently visits second-hand stores to find clothing and other necessities at affordable prices. He prefers shopping online for convenience, but only for items he genuinely needs. When it comes to shopping, he looks for sustainability-focused brands that align with his values, even if it means doing extensive research to find good deals.

Professional Life:
Jake spends his days searching for job opportunities, networking, and volunteering with local environmental organizations to gain experience. He participates in online webinars and workshops to improve his skills and expand his knowledge in the field. He is highly motivated to find a job that allows him to make a positive impact on the environment and help his community.

Personal Style:
Jake has a casual, laid-back style, favoring comfortable clothing that allows for easy movement, especially during outdoor activities. He often wears earth-tone colors, such as greens and browns, reflecting his connection to nature. He typically dresses in well-worn jeans, t-shirts, and sneakers, prioritizing comfort over fashion trends.

Jake is based in Portland, Oregon, where he enjoys exploring the outdoors, biking, and participating in community clean-up events. He usually wakes up around 8 am to make the most of his day."
True,"LSTGJ Navy Blue Men's Wedding Suit Groom Best Man Party Tuxedo Slim fit Blazer Velvet Lapel Double-Breasted Jacket with Pants Work (Color : Royal Blue, Size : 5XL-Large)",163.63,[],13,male,0-30000,"Persona: Ethan

Background:
Ethan is a 22-year-old recent college graduate who has been struggling to find stable employment since completing his degree in Sociology. He is passionate about social justice and community work, aiming to make a difference in society but currently finds himself in a challenging economic situation.

Demographics:
- Age: 22
- Gender: Male
- Education: Bachelor’s degree in Sociology
- Profession: Unemployed
- Income: $0

Financial Situation:
Ethan lives with his parents to save on living expenses while he searches for a job. He relies on their support for basic necessities and is actively seeking entry-level opportunities in non-profit organizations and community outreach programs. He is also exploring internships to gain experience, even if they are unpaid.

Shopping Habits:
Ethan’s financial constraints force him to be extremely budget-conscious. He avoids non-essential purchases and focuses on buying only what he needs. He often shops at thrift stores or relies on community programs for clothing and supplies. When necessary, he uses online resources for second-hand products.

Professional Life:
Ethan spends much of his time networking, volunteering, and applying for jobs. He is actively involved in local community projects and internships to build experience and connections in the social work field. He also attends workshops and webinars to improve his skills and enhance his employability.

Personal Style:
Ethan favors a casual and practical style, often opting for comfortable clothing that suits his active lifestyle. He prefers neutral colors with occasional pops of brightness. His wardrobe mainly consists of budget-friendly basics, and he values durability and functionality over fashion trends.

Lifestyle:
Ethan wakes up early, around 7 am, to make the most of his day. He enjoys spending time with friends and participating in community service. He is passionate about social issues and often engages in discussions about activism and change. He is a resident of Chicago and is determined to secure a fulfilling job that aligns with his values."
True,Little Donkey Andy Women's Packable Lightweight Puffer Jacket Hooded Windproof Winter Coat with Recycled Insulation,49.99,"[['Color', 'Packable Rose'], ['Size', 'Medium']]",9,female,0-30000,"Persona: Mia

Background:
Mia is a 24-year-old recent graduate who has just completed her degree in Environmental Science. Passionate about sustainability and climate change, she currently volunteers with local non-profit organizations focused on environmental conservation while searching for full-time employment in her field.

Demographics:
- Age: 24
- Gender: Female
- Education: Bachelor's degree in Environmental Science
- Profession: Recent graduate/volunteer
- Income: $0 (currently unemployed)

Financial Situation:
Mia relies on her savings from part-time jobs during college and support from her family to cover her living expenses. She is diligent about budgeting and prioritizes essential expenses, as she has no current income. She actively seeks employment and is also exploring internships for experience and networking opportunities in the environmental sector.

Shopping Habits:
Mia is budget-conscious and cautious about her spending habits. She often shies away from making purchases unless absolutely necessary and usually opts for second-hand items or thrift stores to save money. When she does shop, she prioritizes sustainability and quality over brand names. Online shopping is reserved for essentials, and she prefers to research products thoroughly before making a purchase.

Professional Life:
Mia spends her time volunteering for local environmental advocacy groups, attending networking events, and applying for jobs that align with her career goals. She is dedicated to gaining experience in her field and actively seeks opportunities that can enhance her skills and knowledge in environmental science.

Personal Style:
Mia favors a casual, eco-friendly style, often wearing comfortable and practical clothing made from sustainable materials. She leans towards earth tones and soft colors that reflect her passion for nature. Mia prefers clothing that can easily transition from outdoor activities to volunteer events or casual meetings, often wearing size small or medium.

Mia is optimistic about her future and takes pride in her commitment to helping the environment, viewing her current situation as a stepping stone toward a meaningful career. She lives in Seattle and wakes up at around 8:00 am on weekdays to maximize her productivity during her job search."
False,,,,8,female,0-30000,"Persona: Emma

Background:
Emma is a recent college graduate who has been struggling to find stable employment in her field of study, which is Environmental Science. She is passionate about sustainability and conservation but is currently in a transitional phase, relying on volunteer positions and internships to gain experience while seeking full-time work.

Demographics:

Age: 23
Gender: Female
Education: Bachelor’s degree in Environmental Science
Profession: Job seeker / Volunteer
Income: $0

Financial Situation:
Emma is currently at a financial low point, living off savings from her college job and occasional help from her family. She is actively searching for jobs while applying for internships that may lead to a paid position in the future. She is focused on budgeting her expenses closely, prioritizing necessities like food and transportation.

Shopping Habits:
Emma is extremely cautious with her spending and often utilizes thrift stores, community exchanges, and sales to find necessary items. When shopping, she prioritizes essential and second-hand items to stretch her limited budget. Emma prefers online shopping for convenience but only if there are discounts available.

Professional Life:
Emma spends her time volunteering at local environmental organizations and applying for jobs related to her field. She attends networking events and workshops to build her contacts while honing her skills. Although her current role is unpaid, she believes it will enhance her resume and lead to paid opportunities.

Personal Style:
Emma's personal style is casual and pragmatic, often favoring comfortable, eco-friendly clothing. She enjoys wearing natural fabrics and earthy tones. Her wardrobe mostly consists of jeans, t-shirts, and a few versatile pieces that can be dressed up or down. She is keen on upcycling and often crafts her own accessories to express her creativity.

Additional Details:
- Emma wakes up at 8 am to maintain a routine focused on job searching and volunteer commitments.
- She lives in a shared apartment with friends to reduce expenses in a major city, such as Seattle.
- Emma is an advocate for sustainability and is actively involved in community environmental projects, using her time to make a difference while building experience."
False,,,,15,female,0-30000,"Persona: Mia

Background:
Mia is a 24-year-old recent college graduate who has been struggling to find stable employment after completing her degree in Communications. She has a passion for storytelling and media, and she hopes to work in public relations or digital marketing. Due to the competitive job market, she has not yet secured a full-time position and is currently volunteering with local non-profits to gain experience and build her resume.

Demographics:
- Age: 24
- Gender: Female
- Education: Bachelor’s degree in Communications
- Profession: Unemployed/volunteer
- Income: $0 (currently relying on savings and family support)

Financial Situation:
Mia's financial situation is challenging as she has no income and is living off her savings from part-time jobs during college and some support from her family. She is actively looking for work but is cautious about her spending and prioritizes essential expenses like food and transportation over non-essentials.

Shopping Habits:
Mia is thrifty and finds ways to save money, often opting for second-hand shops or thrift stores when she needs clothing or household items. She appreciates discounts and free events to participate in. She tends to prioritize basic needs over luxury items and is always on the lookout for sales and promotions.

Professional Life:
Mia is dedicated to her career development, attending networking events, workshops, and online courses to enhance her skills. She spends her time volunteering and interning to gain experience while also applying for jobs. Maintaining a positive attitude in her job search is crucial, and she uses social media to connect with professionals in her field.

Personal Style:
Mia's personal style is casual and comfortable, reflecting her easy-going personality. She prefers simple outfits consisting of jeans, t-shirts, and sneakers, often in muted tones with occasional pops of color. She enjoys expressing herself through accessories, such as jewelry or a unique bag, without spending much. Brands and sustainability are important to her, so she looks for fair-trade or eco-friendly options when she shops.

Mia is also a coffee enthusiast and often starts her day early, around 7 am, to maximize productivity in her job search. She lives in a shared apartment in a vibrant neighborhood of Denver, where she enjoys socializing with friends at community events."
True,Jackets For Women Womens Hooded Fleece Line Coats Parkas Faux Fur Jackets with Pockets,43.87,"[['Color', 'Navy'], ['Size', 'Medium']]",4,female,0-30000,"Persona: Maya

Background:
Maya is a recent college graduate who is currently unemployed and actively seeking a job in the marketing field. She graduated with a degree in Marketing and Communications, and although she has some internship experience, she is finding it challenging to secure a full-time position in her desired industry.

Demographics:

- Age: 23
- Gender: Female
- Education: Bachelor’s degree in Marketing and Communications
- Profession: Job seeker
- Income: $0 (unemployed)

Financial Situation:
Maya relies on her savings from her part-time jobs during college and minimal support from her family. Her financial situation is tight, and she is careful with her spending. She is currently on a budget and prioritizes essential expenses such as food, transportation, and job application costs.

Shopping Habits:
Maya prioritizes necessity over luxury when it comes to shopping. She often looks for discounts and sales, prefers thrift stores or second-hand items, and is skilled at using coupons and cashback apps. She likes to shop online for convenience but makes sure to compare prices before making any purchase.

Professional Life:
Maya spends her days applying for jobs, networking, and enhancing her skills through online courses. She volunteers at local organizations to gain experience and expand her professional network. Maya is dedicated to personal and professional growth, and often attends workshops and industry events to increase her chances of finding employment.

Personal Style:
Maya’s style is casual and comfortable, suited for networking events and coffee meet-ups with potential employers. She prefers modest clothing in neutral colors like black, gray, and navy, often accessorized with a pop of color through her accessories. Maya values practicality and comfort over trends, opting for clothing that allows her to move freely during her job search activities.

Maya is hopeful about her job prospects and remains motivated to find a position that aligns with her career goals. She lives in a small apartment in her hometown and usually wakes up at 8 a.m. to start her day."
False,,,,13,non-binary,0-30000,"Persona: Alex

Background:
Alex is a recent college graduate and is currently exploring their identity and career options. They recently completed a degree in Environmental Science and are passionate about sustainability and climate activism. Alex is taking time to volunteer for various non-profit organizations while figuring out their next steps.

Demographics:
- Age: 22
- Gender: Non-binary
- Education: Bachelor’s degree in Environmental Science
- Profession: Volunteer/Job seeker
- Income: $0 (currently unemployed)

Financial Situation:
Alex is living off their savings and small financial support from family while searching for employment. They are conscious of their spending and prioritize essential items. They often rely on community resources and food banks to ease their financial burden.

Shopping Habits:
Alex prefers thrifting and second-hand shops, valuing sustainability and minimizing waste. They enjoy the thrill of finding unique items and support eco-friendly brands whenever possible. Shopping is done sparingly and is often accompanied by a list to avoid unnecessary purchases.

Professional Life:
Alex dedicates their time to volunteering with environmental organizations, participating in community clean-up events, and advocating for climate justice. They are also networking and attending workshops to enhance their skills and increase their employability.

Personal Style:
Alex embraces a casual, eco-conscious style, often choosing comfortable clothing made from sustainable materials. Their wardrobe consists mainly of oversized tees, jeans, and gender-neutral accessories. They enjoy expressing themselves through bold colors, particularly green and blue, which reflect their love for nature.

Living Situation:
Alex lives in a shared apartment with friends in an urban area, where they can easily access public transportation to reach volunteering opportunities and networking events.

Daily Routine:
Alex's daily routine varies but often includes volunteering, attending workshops, and spending time in nature. They wake up around 8 AM and prioritize self-care, reading, and staying connected with friends to maintain a positive outlook during their job search."
False,,,,8,non-binary,0-30000,"Persona: Alex

Background:
Alex is a non-binary individual currently exploring their identity and interests while navigating life at zero income. They engage in various creative projects and community initiatives, contributing to local art and activism. Alex is passionate about issues surrounding gender equality and mental health awareness, often volunteering at local organizations.

Demographics:

- Age: 22
- Gender: Non-binary
- Education: Completed high school, currently attending community college part-time
- Profession: Freelance artist and volunteer
- Income: $0, relies on social support and community resources

Financial Situation:
Alex is managing a zero income level and relies on a combination of social assistance, community support, and occasional small gigs related to art and events. They are skilled in budgeting with limited resources, prioritizing essential needs and seeking opportunities in the community.

Shopping Habits:
Alex tends to shop for basics through thrift stores and community swaps, focusing on sustainability and affordability. They enjoy making unique finds that express their individuality and creativity. Online shopping is mostly limited to necessity items, with an emphasis on second-hand goods. When shopping, Alex values ethical and eco-friendly products that align with their values.

Professional Life:
While Alex is pursuing their interests in art, they are also involved in volunteer work that allows them to connect with others and make a difference in the community. They are interested in various fields, including digital art, graphic design, and community organizing. Their commitment to personal growth and civic engagement guides them in their endeavors.

Personal Style:
Alex has a vibrant and eclectic personal style, mixing vintage and contemporary pieces to create a unique look. They prefer comfortable and expressive clothing, often incorporating bright colors and bold patterns that reflect their personality. Gender-neutral clothing options are a go-to, favoring roomy fits and styles that allow for ease of movement. Alex enjoys accessorizing with handmade jewelry and often uses upcycled materials in their outfits.

Living Situation:
Alex resides in a shared apartment with roommates who share similar values. The living environment is open and creative, often used for collaborative art projects and community meet-ups. They wake up at varied times, reflective of their fluid lifestyle, typically starting their day around 10 a.m. to recharge with self-care and creative work before engaging in community activities.

Interests:
Alex enjoys painting, digital illustration, poetry, and participating in local discussion groups. They are keen on learning new skills that can lead to future opportunities and are actively seeking to connect with mentors within their creative fields."
